YEAR,MONTH_NUM,Flights_with_delay,Minutes_of_delay,Total_IFR_Movements,Avg_delay_per_delayed_flight,Avg_delay_per_total_flight
2018,1,2628,1295.0,5255,0.4927701674277017,0.24643196955280686
2018,2,2397,1070.0,4798,0.44639132248644137,0.22300958732805334
2018,3,2823,1423.0,5639,0.504073680481757,0.2523497073949282
2018,4,2953,1212.0,5920,0.4104300711141212,0.20472972972972972
2018,5,3074,1218.0,6149,0.39622641509433965,0.1980809887786632
2018,6,3279,1117.0,6562,0.34065263799939005,0.17022249314233465
2018,7,3422,1081.0,6838,0.3158971361776739,0.15808715998830067
2018,8,3347,885.0,6696,0.2644158948311921,0.13216845878136202
2018,9,2976,1139.0,5951,0.38272849462365593,0.19139640396572005
2018,10,3190,722.0,6372,0.2263322884012539,0.113308223477715
2018,11,2856,886.0,5700,0.31022408963585435,0.15543859649122807
2018,12,2768,1133.0,5534,0.4093208092485549,0.20473436935309
2019,1,2782,1605.0,5567,0.5769230769230769,0.2883060894557212
2019,2,2628,1505.0,5252,0.5726788432267884,0.28655750190403656
2019,3,3038,1055.0,6077,0.34726793943383805,0.17360539740003292
2019,4,3255,1534.0,6511,0.47127496159754223,0.23560129012440487
2019,5,3424,1497.0,6855,0.43720794392523366,0.21838074398249452
2019,6,3486,1264.0,6968,0.36259323006310956,0.18140068886337543
2019,7,3676,1109.0,7357,0.30168661588683354,0.150740791083322
2019,8,3461,1103.0,6910,0.31869401906963307,0.15962373371924746
2019,9,3638,1037.0,7273,0.2850467289719626,0.14258215316925615
2019,10,3295,869.0,6577,0.2637329286798179,0.13212710962444885
2019,11,2939,1140.0,5877,0.3878870364069411,0.19397651863195509
2019,12,2937,1432.0,5866,0.48757235274089206,0.24411864984657347
2024,1,2627,1455.0,5251,0.5538637228778074,0.2770900780803656
2024,2,2370,687.0,4742,0.289873417721519,0.14487557992408268
2024,3,2872,1389.0,5748,0.48363509749303624,0.24164926931106473
2024,4,3763,2058.0,7532,0.5469040659048632,0.2732342007434944
2024,5,4059,2411.0,8114,0.5939886671593989,0.2971407443924082
2024,6,4062,2257.0,8121,0.5556376169374693,0.2779214382465214
2024,7,4111,1256.0,8215,0.3055217708586719,0.1528910529519172
2024,8,4037,2013.0,8087,0.4986376021798365,0.2489180165698034
2024,9,3940,2220.0,7872,0.5634517766497462,0.2820121951219512
2024,10,3931,1571.0,7863,0.39964385652505724,0.19979651532493958
2024,11,2800,1188.0,5597,0.42428571428571427,0.2122565660175094
2024,12,2876,1316.0,5755,0.4575799721835883,0.22867072111207645
2025,1,2681,1276.0,5365,0.47594181275643416,0.23783783783783785
2025,2,2535,0.0,5073,0.0,0.0
