YEAR,MONTH_NUM,FLT_DATE,APT_ICAO,APT_NAME,Departures_IFR,Arrivals_IFR,Total_IFR_Movements
2019,1,2019-01-01,LIPE,Bologna,68,71,139
2019,1,2019-01-02,LIPE,Bologna,95,99,194
2019,1,2019-01-03,LIPE,Bologna,95,93,188
2019,1,2019-01-04,LIPE,Bologna,96,93,189
2019,1,2019-01-05,LIPE,Bologna,82,83,165
2019,1,2019-01-06,LIPE,Bologna,87,90,177
2019,1,2019-01-07,LIPE,Bologna,100,100,200
2019,1,2019-01-08,LIPE,Bologna,86,85,171
2019,1,2019-01-09,LIPE,Bologna,97,96,193
2019,1,2019-01-10,LIPE,Bologna,93,91,184
2019,1,2019-01-11,LIPE,Bologna,85,87,172
2019,1,2019-01-12,LIPE,Bologna,79,75,154
2019,1,2019-01-13,LIPE,Bologna,82,84,166
2019,1,2019-01-14,LIPE,Bologna,97,97,194
2019,1,2019-01-15,LIPE,Bologna,81,81,162
2019,1,2019-01-16,LIPE,Bologna,90,89,179
2019,1,2019-01-17,LIPE,Bologna,89,93,182
2019,1,2019-01-18,LIPE,Bologna,106,105,211
2019,1,2019-01-19,LIPE,Bologna,81,79,160
2019,1,2019-01-20,LIPE,Bologna,88,89,177
2019,1,2019-01-21,LIPE,Bologna,100,99,199
2019,1,2019-01-22,LIPE,Bologna,89,87,176
2019,1,2019-01-23,LIPE,Bologna,91,92,183
2019,1,2019-01-24,LIPE,Bologna,92,91,183
2019,1,2019-01-25,LIPE,Bologna,98,101,199
2019,1,2019-01-26,LIPE,Bologna,79,77,156
2019,1,2019-01-27,LIPE,Bologna,88,89,177
2019,1,2019-01-28,LIPE,Bologna,105,103,208
2019,1,2019-01-29,LIPE,Bologna,86,86,172
2019,1,2019-01-30,LIPE,Bologna,78,85,163
2019,1,2019-01-31,LIPE,Bologna,99,95,194
2019,2,2019-02-01,LIPE,Bologna,100,96,196
2019,2,2019-02-02,LIPE,Bologna,75,76,151
2019,2,2019-02-03,LIPE,Bologna,85,87,172
2019,2,2019-02-04,LIPE,Bologna,103,98,201
2019,2,2019-02-05,LIPE,Bologna,89,91,180
2019,2,2019-02-06,LIPE,Bologna,94,98,192
2019,2,2019-02-07,LIPE,Bologna,101,96,197
2019,2,2019-02-08,LIPE,Bologna,108,110,218
2019,2,2019-02-09,LIPE,Bologna,82,80,162
2019,2,2019-02-10,LIPE,Bologna,83,87,170
2019,2,2019-02-11,LIPE,Bologna,103,100,203
2019,2,2019-02-12,LIPE,Bologna,75,76,151
2019,2,2019-02-13,LIPE,Bologna,91,94,185
2019,2,2019-02-14,LIPE,Bologna,100,104,204
2019,2,2019-02-15,LIPE,Bologna,114,108,222
2019,2,2019-02-16,LIPE,Bologna,84,81,165
2019,2,2019-02-17,LIPE,Bologna,82,86,168
2019,2,2019-02-18,LIPE,Bologna,106,105,211
2019,2,2019-02-19,LIPE,Bologna,93,91,184
2019,2,2019-02-20,LIPE,Bologna,95,95,190
2019,2,2019-02-21,LIPE,Bologna,93,96,189
2019,2,2019-02-22,LIPE,Bologna,100,100,200
2019,2,2019-02-23,LIPE,Bologna,90,88,178
2019,2,2019-02-24,LIPE,Bologna,95,92,187
2019,2,2019-02-25,LIPE,Bologna,101,103,204
2019,2,2019-02-26,LIPE,Bologna,95,95,190
2019,2,2019-02-27,LIPE,Bologna,97,97,194
2019,2,2019-02-28,LIPE,Bologna,94,94,188
2019,3,2019-03-01,LIPE,Bologna,105,113,218
2019,3,2019-03-02,LIPE,Bologna,97,90,187
2019,3,2019-03-03,LIPE,Bologna,89,90,179
2019,3,2019-03-04,LIPE,Bologna,108,110,218
2019,3,2019-03-05,LIPE,Bologna,95,92,187
2019,3,2019-03-06,LIPE,Bologna,95,95,190
2019,3,2019-03-07,LIPE,Bologna,105,107,212
2019,3,2019-03-08,LIPE,Bologna,101,98,199
2019,3,2019-03-09,LIPE,Bologna,89,92,181
2019,3,2019-03-10,LIPE,Bologna,91,90,181
2019,3,2019-03-11,LIPE,Bologna,105,106,211
2019,3,2019-03-12,LIPE,Bologna,93,92,185
2019,3,2019-03-13,LIPE,Bologna,97,98,195
2019,3,2019-03-14,LIPE,Bologna,103,103,206
2019,3,2019-03-15,LIPE,Bologna,108,107,215
2019,3,2019-03-16,LIPE,Bologna,92,91,183
2019,3,2019-03-17,LIPE,Bologna,90,90,180
2019,3,2019-03-18,LIPE,Bologna,108,108,216
2019,3,2019-03-19,LIPE,Bologna,97,96,193
2019,3,2019-03-20,LIPE,Bologna,103,100,203
2019,3,2019-03-21,LIPE,Bologna,98,101,199
2019,3,2019-03-22,LIPE,Bologna,106,104,210
2019,3,2019-03-23,LIPE,Bologna,85,86,171
2019,3,2019-03-24,LIPE,Bologna,90,95,185
2019,3,2019-03-25,LIPE,Bologna,95,97,192
2019,3,2019-03-26,LIPE,Bologna,100,98,198
2019,3,2019-03-27,LIPE,Bologna,102,98,200
2019,3,2019-03-28,LIPE,Bologna,101,101,202
2019,3,2019-03-29,LIPE,Bologna,103,107,210
2019,3,2019-03-30,LIPE,Bologna,84,85,169
2019,3,2019-03-31,LIPE,Bologna,103,99,202
2019,4,2019-04-01,LIPE,Bologna,113,111,224
2019,4,2019-04-02,LIPE,Bologna,108,107,215
2019,4,2019-04-03,LIPE,Bologna,105,107,212
2019,4,2019-04-04,LIPE,Bologna,115,114,229
