Country,Year,Annual CO2‚ emissions
Italy,1860,29312
Italy,1861,670512
Italy,1862,1227440
Italy,1863,1069888
Italy,1864,1604832
Italy,1865,1271408
Italy,1866,1476592
Italy,1867,1469264
Italy,1868,1696432
Italy,1869,1872304
Italy,1870,2678384
Italy,1871,2308320
Italy,1872,2975168
Italy,1873,2769984
Italy,1874,2997152
Italy,1875,3066768
Italy,1876,4107344.2
Italy,1877,3803232
Italy,1878,3784912
Italy,1879,4356496
Italy,1880,5067312
Italy,1881,5957664
Italy,1882,6272768
Italy,1883,6646496
Italy,1884,7360976
Italy,1885,8375904
Italy,1886,8328272
Italy,1887,10149280
Italy,1888,10896736
Italy,1889,11255808
Italy,1890,12208448
Italy,1891,10999328
Italy,1892,10889408
Italy,1893,10523008
Italy,1894,13062160
Italy,1895,12021584
Italy,1896,11424352
Italy,1897,11918992
Italy,1898,12402640
Italy,1899,13589776
Italy,1900,13908544
Italy,1901,13520160
Italy,1902,15015072
Italy,1903,15315520
Italy,1904,16187551
Italy,1905,17843680
Italy,1906,21089984
Italy,1907,22808400
Italy,1908,23262736
Italy,1909,25702960
Italy,1910,25735936
Italy,1911,26538352
Italy,1912,27850064
Italy,1913,29964192
Italy,1914,27238176
Italy,1915,23779360
Italy,1916,23511888
Italy,1917,16121599
Italy,1918,18979520
Italy,1919,18609456
Italy,1920,17869328
Italy,1921,21881408
Italy,1922,25699296
Italy,1923,26824144
Italy,1924,32180912
Italy,1925,30968128
Italy,1926,35841250
Italy,1927,40384610
Italy,1928,38148140
Italy,1929,44027132
Italy,1930,39549784
Italy,1931,34172700
Italy,1932,28064604
Italy,1933,30473790
Italy,1934,39660990
Italy,1935,45376240
Italy,1936,31989586
Italy,1937,45174150
Italy,1938,44978956
Italy,1939,46120100
Italy,1940,49030564
Italy,1941,42894144
Italy,1942,41888780
Italy,1943,7112232
Italy,1944,3577930
Italy,1945,4351886
Italy,1946,22166356
Italy,1947,36786412
Italy,1948,35528084
Italy,1949,39771060
Italy,1950,41430596
Italy,1951,48822230
Italy,1952,50620580
Italy,1953,55994576
Italy,1954,64938324
Italy,1955,73266220
Italy,1956,83475060
Italy,1957,87077970
Italy,1958,87598380
Italy,1959,94084600
Italy,1960,109203090
Italy,1961,124374900
Italy,1962,146254990
Italy,1963,164556240
Italy,1964,175721070
Italy,1965,189528380
Italy,1966,213982260
Italy,1967,234129740
Italy,1968,249172160
Italy,1969,269661000
Italy,1970,296364540
Italy,1971,311049180
Italy,1972,328237470
Italy,1973,353349120
Italy,1974,358252930
Italy,1975,341052450
Italy,1976,365795460
Italy,1977,354417630
Italy,1978,371273820
Italy,1979,385255520
Italy,1980,386433020
Italy,1981,375300130
Italy,1982,366879040
Italy,1983,358409100
Italy,1984,364601060
Italy,1985,368982400
Italy,1986,363187620
Italy,1987,380098560
Italy,1988,385962240
Italy,1989,404741950
Italy,1990,438207000
Italy,1991,437741220
Italy,1992,437935970
Italy,1993,430267170
Italy,1994,424506020
Italy,1995,448594850
Italy,1996,442842080
Italy,1997,448569820
Italy,1998,460823140
Italy,1999,465506270
Italy,2000,469596930
Italy,2001,469677730
Italy,2002,477105500
Italy,2003,495092300
Italy,2004,500685630
Italy,2005,501364060
Italy,2006,495936900
Italy,2007,489653150
Italy,2008,478126140
Italy,2009,424061120
Italy,2010,435710340
Italy,2011,423894300
Italy,2012,403441340
Italy,2013,369474700
Italy,2014,349400320
Italy,2015,361254340
Italy,2016,358144350
Italy,2017,352678620
Italy,2018,349062140
Italy,2019,339633540
Italy,2020,302602430
Italy,2021,335977820
Italy,2022,340672300
Italy,2023,313460640
